Step,Loss,Batch Size,Accuracy
0,2.3032503,16,0.125,0.0859375
1,2.48595,16,0.0625,
2,2.2769947,16,0.0625,
3,2.333942,16,0.25,
4,2.2119184,16,0.1875,
5,2.2066655,16,0.1875,
6,2.2152996,16,0.1875,
7,2.4117587,16,0.0625,
8,2.301053,16,0.0,
9,2.285001,16,0.0625,
10,2.2354083,16,0.25,
11,2.2113595,16,0.25,
12,2.2748313,16,0.0625,
13,2.2927265,16,0.0625,
14,2.3360925,16,0.0625,
15,2.1967468,16,0.25,
16,2.2672071,16,0.1875,
17,2.3057327,16,0.0,
18,2.202659,16,0.1875,
19,2.29498,16,0.1875,
20,2.2668133,16,0.125,
21,2.2165365,16,0.125,
22,2.2981665,16,0.125,
23,2.2991827,16,0.0,
24,2.2109838,16,0.0625,
25,2.1308136,16,0.375,
26,2.1836085,16,0.0,
27,2.3984256,16,0.0,
28,2.2656727,16,0.1875,
29,2.2307892,16,0.125,
30,2.2159011,16,0.1875,
31,2.2274523,16,0.0625,
32,2.1192298,16,0.0625,
33,2.0845864,16,0.3125,
34,2.188805,16,0.1875,
35,2.206681,16,0.0625,
36,2.1642332,16,0.1875,
37,2.012282,16,0.125,
38,1.9480875,16,0.125,
39,2.2458987,16,0.1875,
40,2.3427072,16,0.125,
41,1.9981273,16,0.25,
42,2.139976,16,0.1875,
43,2.0367606,16,0.3125,
44,2.4234815,16,0.125,
45,2.2161412,16,0.1875,
46,2.1562927,16,0.0,
47,2.31829,16,0.1875,
48,2.01205,16,0.1875,
49,2.2651253,16,0.1875,
50,2.1583145,16,0.25,
51,2.2046947,16,0.125,
52,2.0900097,16,0.25,
53,2.2554111,16,0.1875,
54,2.0760036,16,0.1875,
55,2.198782,16,0.25,
56,2.1491544,16,0.25,
57,2.211114,16,0.375,
58,2.186541,16,0.25,
59,2.171754,16,0.125,
60,2.3292406,16,0.3125,
61,2.0828223,16,0.25,
62,2.0939362,16,0.25,
63,2.19774,16,0.125,
64,2.0860648,16,0.125,
65,2.1501212,16,0.1875,
66,2.0178375,16,0.125,
67,2.0447044,16,0.25,
68,2.0275154,16,0.3125,
69,2.1929874,16,0.1875,
70,2.0804396,16,0.25,
71,2.1403778,16,0.125,
72,2.3872397,16,0.0625,
73,2.0863452,16,0.25,
74,2.0633261,16,0.3125,
75,1.8745518,16,0.3125,
76,1.947619,16,0.125,
77,1.9307466,16,0.3125,
78,2.4393244,16,0.0625,
79,1.9896941,16,0.1875,
80,1.8771406,16,0.25,
81,2.077741,16,0.0625,
82,2.0228584,16,0.25,
83,2.2715032,16,0.125,
84,2.0286722,16,0.25,
85,1.896699,16,0.3125,
86,1.9402031,16,0.1875,
87,1.8990734,16,0.25,
88,2.0777416,16,0.25,
89,3.0983744,16,0.125,
90,2.3390622,16,0.25,
91,2.1987488,16,0.125,
92,2.2491393,16,0.3125,
93,2.236446,16,0.0625,
94,2.0612276,16,0.1875,
95,2.200136,16,0.1875,
96,2.0730329,16,0.1875,
97,2.0922856,16,0.1875,
98,2.1092453,16,0.125,
99,2.3176038,16,0.0625,
100,2.2864466,16,0.0625,0.1015625
101,1.8542475,16,0.3125,
102,1.9028416,16,0.25,
103,2.0184617,16,0.125,
104,2.0107465,16,0.1875,
105,2.0486035,16,0.25,
106,2.014615,16,0.1875,
107,1.8504354,16,0.1875,
108,1.847142,16,0.5,
109,1.8537216,16,0.3125,
110,2.6985917,16,0.0625,
111,1.9908967,16,0.375,
112,2.1852036,16,0.1875,
113,2.0807345,16,0.1875,
114,1.6937097,16,0.375,
115,2.3424067,16,0.1875,
116,2.0260634,16,0.1875,
117,1.7350326,16,0.375,
118,2.170343,16,0.3125,
119,2.2084215,16,0.0625,
120,1.82338,16,0.1875,
121,1.9006782,16,0.375,
122,2.448989,16,0.0625,
123,1.7925208,16,0.1875,
124,1.8911889,16,0.25,
125,2.0365171,16,0.25,
126,1.9191613,16,0.25,
127,2.1806734,16,0.1875,
128,2.6440742,16,0.1875,
129,2.3414564,16,0.0625,
130,2.0492759,16,0.125,
131,1.9762866,16,0.25,
132,2.0968323,16,0.3125,
133,1.9688876,16,0.1875,
134,1.9436055,16,0.1875,
135,2.0665371,16,0.125,
136,1.9884493,16,0.125,
137,1.7545669,16,0.125,
138,1.8507166,16,0.3125,
139,1.9739413,16,0.3125,
140,1.9426203,16,0.125,
141,1.8745204,16,0.25,
142,1.8736632,16,0.3125,
143,2.0267773,16,0.125,
144,2.0248137,16,0.3125,
145,2.1265683,16,0.125,
146,1.9690325,16,0.3125,
147,2.1197817,16,0.3125,
148,2.1386566,16,0.375,
149,1.7278066,16,0.3125,
150,1.8817201,16,0.25,
151,2.0672436,16,0.25,
152,1.9452146,16,0.0625,
153,2.0036805,16,0.3125,
154,1.8503923,16,0.25,
155,2.0247488,16,0.0,
156,1.8301362,16,0.25,
157,2.091855,16,0.125,
158,1.8995457,16,0.4375,
159,1.9831611,16,0.125,
160,2.3421125,16,0.125,
161,2.0121179,16,0.25,
162,2.0319767,16,0.1875,
163,2.0338118,16,0.4375,
164,1.9361205,16,0.25,
165,1.862314,16,0.125,
166,2.0529904,16,0.25,
167,2.0244946,16,0.3125,
168,1.8983635,16,0.375,
169,1.4537251,16,0.3125,
170,2.3578162,16,0.1875,
171,2.070993,16,0.3125,
172,1.8078749,16,0.5,
173,2.035716,16,0.1875,
174,1.9611056,16,0.25,
175,1.7974875,16,0.4375,
176,1.9656768,16,0.375,
177,2.17955,16,0.125,
178,2.010589,16,0.25,
179,1.9004399,16,0.1875,
180,1.8401208,16,0.5,
181,1.9081943,16,0.1875,
182,1.6126139,16,0.25,
183,2.2770662,16,0.1875,
184,1.8553456,16,0.3125,
185,2.1303504,16,0.0625,
186,2.030924,16,0.1875,
187,2.2713127,16,0.125,
188,2.1901743,16,0.125,
189,1.8558524,16,0.25,
190,1.6901394,16,0.25,
191,1.7661841,16,0.375,
192,1.984663,16,0.1875,
193,1.9121814,16,0.1875,
194,1.9292206,16,0.1875,
195,1.7741706,16,0.3125,
196,1.6770914,16,0.5,
197,1.9676926,16,0.375,
198,1.8606515,16,0.3125,
199,1.8072512,16,0.3125,
200,1.5999638,16,0.375,0.0859375
201,1.8558682,16,0.3125,
202,1.5431669,16,0.5,
203,2.6239176,16,0.0625,
204,2.0919538,16,0.1875,
205,1.9084456,16,0.25,
206,1.7303507,16,0.3125,
207,1.885043,16,0.375,
208,1.5202553,16,0.5,
209,2.0435827,16,0.125,
210,2.2035928,16,0.3125,
211,1.8216343,16,0.4375,
212,2.0465055,16,0.25,
213,1.9557192,16,0.3125,
214,2.024955,16,0.125,
215,1.7965891,16,0.5,
216,1.8959403,16,0.1875,
217,1.7555032,16,0.375,
218,2.0522633,16,0.125,
219,2.5128803,16,0.0625,
220,1.8849216,16,0.25,
221,1.95066,16,0.1875,
222,2.0956068,16,0.25,
223,1.9904519,16,0.375,
224,1.495097,16,0.3125,
225,1.7757616,16,0.4375,
226,2.0002098,16,0.125,
227,1.7523944,16,0.375,
228,1.9369857,16,0.25,
229,1.912759,16,0.375,
230,1.9683623,16,0.3125,
231,1.9076455,16,0.25,
232,2.126864,16,0.1875,
233,1.6581509,16,0.3125,
234,2.0779133,16,0.25,
235,1.7767289,16,0.3125,
236,2.0120728,16,0.4375,
237,1.9012884,16,0.1875,
238,1.9836178,16,0.1875,
239,2.0411465,16,0.4375,
240,2.1585352,16,0.125,
241,2.1241217,16,0.1875,
242,1.7642043,16,0.4375,
243,2.0171752,16,0.25,
244,1.976093,16,0.1875,
245,1.8054199,16,0.25,
246,1.8601848,16,0.3125,
247,1.8206254,16,0.25,
248,1.6942828,16,0.375,
249,1.9060788,16,0.25,
250,2.0003443,16,0.25,
251,1.9350243,16,0.1875,
252,2.3411465,16,0.125,
253,1.7479517,16,0.375,
254,1.6714988,16,0.375,
255,1.9947445,16,0.0625,
256,1.9730823,16,0.375,
257,1.6049883,16,0.4375,
258,1.761295,16,0.25,
259,1.6992664,16,0.5,
260,1.7871082,16,0.375,
261,1.8747475,16,0.25,
262,1.8533171,16,0.25,
263,1.9274976,16,0.3125,
264,2.0361109,16,0.3125,
265,1.917075,16,0.25,
266,2.1611652,16,0.25,
267,1.9881518,16,0.1875,
268,1.6686041,16,0.5,
269,1.9696895,16,0.1875,
270,1.7727685,16,0.25,
271,1.8577316,16,0.375,
272,1.7111131,16,0.4375,
273,1.6984835,16,0.3125,
274,1.8688179,16,0.3125,
275,2.0550919,16,0.3125,
276,2.2098765,16,0.3125,
277,1.6204054,16,0.5625,
278,1.6609985,16,0.25,
279,2.2097485,16,0.1875,
280,1.8646642,16,0.375,
281,1.913096,16,0.125,
282,2.1794553,16,0.0625,
283,1.7197098,16,0.375,
284,1.8282512,16,0.375,
285,1.9315022,16,0.1875,
286,2.119041,16,0.0625,
287,1.6617073,16,0.3125,
288,1.9873357,16,0.375,
289,1.6663911,16,0.3125,
290,1.8827813,16,0.1875,
291,2.2188544,16,0.1875,
292,1.7628797,16,0.3125,
293,1.6230022,16,0.3125,
294,1.8353038,16,0.25,
295,2.0810053,16,0.1875,
296,2.008595,16,0.0625,
297,1.6088567,16,0.375,
298,1.6309164,16,0.4375,
299,2.0199308,16,0.25,
300,2.0081394,16,0.375,0.1171875
301,1.9633558,16,0.375,
302,1.8317525,16,0.375,
303,1.669118,16,0.4375,
304,2.1825101,16,0.1875,
305,1.630707,16,0.375,
306,2.0559413,16,0.3125,
307,1.8306525,16,0.3125,
308,1.7472191,16,0.25,
309,1.8304932,16,0.3125,
310,1.9839962,16,0.375,
311,1.8797412,16,0.3125,
312,1.5807059,16,0.375,
313,1.6940458,16,0.1875,
314,1.5222452,16,0.4375,
315,1.7506316,16,0.375,
316,1.1623331,16,0.5625,
317,1.6110523,16,0.375,
318,2.1623888,16,0.3125,
