Step,Loss,Batch Size,Train Accuracy,Test Accuracy
0,4.6061687,16,0.0,0.0533
1,4.3870525,16,0.1875,
2,4.318434,16,0.0,
3,3.9245992,16,0.125,
4,3.7176883,16,0.0,
5,3.8759115,16,0.0,
6,3.6472502,16,0.125,
7,4.4938154,16,0.125,
8,4.3845425,16,0.0,
9,4.2842207,16,0.0,
10,4.066499,16,0.0,
11,3.7367873,16,0.0,
12,3.6640706,16,0.0,
13,3.2580953,16,0.125,
14,3.5476975,16,0.0625,
15,3.8093748,16,0.0,
16,3.199726,16,0.125,
17,3.4560497,16,0.0,
18,3.6036866,16,0.0,
19,3.4249382,16,0.0625,
20,3.3196554,16,0.0625,
21,3.414333,16,0.0625,
22,3.0346737,16,0.0625,
23,3.709064,16,0.0,
24,3.4172049,16,0.0,
25,3.2175393,16,0.125,
26,2.9460292,16,0.1875,
27,3.284175,16,0.0625,
28,2.9420936,16,0.1875,
29,3.4958544,16,0.0625,
30,3.2025886,16,0.125,
31,3.0960317,16,0.25,
32,3.0088315,16,0.25,
33,3.2105174,16,0.0625,
34,3.08939,16,0.0625,
35,3.2769938,16,0.125,
36,3.2449532,16,0.0,
37,3.2913518,16,0.0625,
38,3.0227494,16,0.1875,
39,3.1874352,16,0.0,
40,3.4315836,16,0.0625,
41,3.2350352,16,0.0625,
42,3.1297245,16,0.0,
43,2.865056,16,0.3125,
44,3.4859233,16,0.0625,
45,3.433288,16,0.0,
46,3.4207773,16,0.125,
47,3.0384638,16,0.1875,
48,3.1153364,16,0.0,
49,3.3803208,16,0.0625,
50,2.8631542,16,0.3125,
51,2.9274254,16,0.0625,
52,3.217761,16,0.0625,
53,3.2212965,16,0.0625,
54,2.8851926,16,0.1875,
55,2.9327896,16,0.125,
56,3.455178,16,0.0,
57,3.123094,16,0.0,
58,3.4037488,16,0.0625,
59,3.3430133,16,0.0,
60,3.0939507,16,0.0625,
61,3.216817,16,0.0,
62,2.9337833,16,0.125,
63,2.917237,16,0.125,
64,3.0692844,16,0.0625,
65,3.1026049,16,0.0,
66,2.7694502,16,0.1875,
67,2.4318836,16,0.3125,
68,3.3267422,16,0.1875,
69,3.1398993,16,0.0,
70,3.0075598,16,0.1875,
71,3.1826925,16,0.125,
72,3.072313,16,0.0,
73,2.69601,16,0.1875,
74,2.910108,16,0.1875,
75,3.0632715,16,0.0625,
76,3.0280688,16,0.0,
77,3.1062045,16,0.0625,
78,2.8864589,16,0.0625,
79,2.6928453,16,0.0625,
80,3.0903149,16,0.0625,
81,3.4352853,16,0.0,
82,2.994998,16,0.1875,
83,2.9533637,16,0.125,
84,3.1500576,16,0.0625,
85,2.8714411,16,0.0,
86,2.7934058,16,0.0,
87,3.2276294,16,0.0,
88,2.8436527,16,0.1875,
89,2.5435243,16,0.25,
90,3.164341,16,0.0625,
91,3.0444407,16,0.1875,
92,3.1115701,16,0.0,
93,2.8852267,16,0.25,
94,2.882288,16,0.1875,
95,3.010994,16,0.125,
96,3.072678,16,0.125,
97,3.2074423,16,0.0625,
98,2.7747765,16,0.125,
99,2.7348568,16,0.125,
100,2.7580013,16,0.25,0.0893
101,3.1097913,16,0.125,
102,3.0267978,16,0.0625,
103,3.0816529,16,0.0,
104,3.1593804,16,0.0625,
105,2.7316356,16,0.125,
106,3.238825,16,0.0625,
107,3.2722425,16,0.0,
108,3.1672158,16,0.125,
109,3.0632174,16,0.125,
110,2.8859577,16,0.0625,
111,2.9637265,16,0.0625,
112,2.7244859,16,0.0625,
113,3.012118,16,0.0625,
114,2.8895373,16,0.0625,
115,2.8699384,16,0.1875,
116,3.0459952,16,0.125,
117,2.8207011,16,0.1875,
118,2.4798124,16,0.3125,
119,4.336367,16,0.125,
120,3.0621662,16,0.1875,
121,3.2212257,16,0.0,
122,3.0152016,16,0.0625,
123,3.0207381,16,0.1875,
124,3.2618604,16,0.125,
125,2.9308307,16,0.125,
126,3.0254092,16,0.0,
127,3.023316,16,0.0,
128,2.6977086,16,0.125,
129,3.0413024,16,0.0,
130,3.053152,16,0.0625,
131,3.1386337,16,0.0625,
132,2.875636,16,0.25,
133,3.376594,16,0.0,
134,3.039143,16,0.0625,
135,2.8019989,16,0.1875,
136,2.7461495,16,0.1875,
137,2.988393,16,0.0625,
138,2.6140523,16,0.1875,
139,2.8197777,16,0.0625,
140,3.0410452,16,0.1875,
141,2.8825378,16,0.1875,
142,2.6328967,16,0.1875,
143,2.8077466,16,0.125,
144,2.793662,16,0.125,
145,2.6894863,16,0.1875,
146,2.6986914,16,0.125,
147,2.4579492,16,0.3125,
148,3.1689348,16,0.1875,
149,2.5596216,16,0.125,
150,2.8930569,16,0.0625,
151,3.07245,16,0.125,
152,3.1236715,16,0.0625,
153,2.6557984,16,0.1875,
154,3.205457,16,0.0625,
155,3.2633827,16,0.0,
156,2.8299575,16,0.1875,
157,2.8081317,16,0.125,
158,2.7282786,16,0.1875,
159,3.395258,16,0.0,
160,3.0454926,16,0.0625,
161,2.814518,16,0.125,
162,3.1589339,16,0.0,
163,2.802481,16,0.125,
164,3.0380259,16,0.0625,
165,2.7410977,16,0.125,
166,2.8013031,16,0.0625,
167,2.7605405,16,0.25,
168,2.6352282,16,0.25,
169,3.0081348,16,0.125,
170,2.4507804,16,0.3125,
171,3.1518488,16,0.0625,
172,3.1081288,16,0.0625,
173,3.0868802,16,0.0,
174,3.043612,16,0.1875,
175,2.5706773,16,0.1875,
176,2.6729255,16,0.125,
177,2.9073815,16,0.0625,
178,2.9596038,16,0.0,
179,2.7748694,16,0.1875,
180,3.0714483,16,0.0,
181,2.748996,16,0.125,
182,2.7632737,16,0.1875,
183,3.1465461,16,0.0,
184,2.8669813,16,0.1875,
185,3.1683476,16,0.0,
186,2.720242,16,0.0625,
187,2.78583,16,0.0625,
188,2.91254,16,0.125,
189,3.2093,16,0.0625,
190,3.08217,16,0.125,
191,2.8529546,16,0.125,
192,3.1282272,16,0.0625,
193,2.8134408,16,0.0625,
194,3.043563,16,0.0,
195,2.7673213,16,0.125,
196,2.709288,16,0.0,
197,2.702491,16,0.125,
198,2.9140854,16,0.1875,
199,2.7743912,16,0.25,
200,2.4087226,16,0.125,0.1413
201,3.4768493,16,0.0,
202,2.9759872,16,0.0,
203,2.6643689,16,0.25,
204,3.322835,16,0.0,
205,2.8169951,16,0.3125,
206,2.5533826,16,0.125,
207,3.2618163,16,0.1875,
208,2.7068174,16,0.25,
209,2.9344988,16,0.0625,
210,2.900972,16,0.1875,
211,2.9252095,16,0.1875,
212,2.8292685,16,0.0625,
213,3.169938,16,0.0,
214,3.0110216,16,0.1875,
215,2.7422624,16,0.125,
216,2.5883896,16,0.125,
217,2.6797807,16,0.1875,
218,2.9367776,16,0.0625,
219,2.5474658,16,0.1875,
220,3.8262076,16,0.0,
221,2.6985977,16,0.3125,
222,3.7346668,16,0.0625,
223,2.9195175,16,0.1875,
224,2.9222136,16,0.0625,
225,3.1240613,16,0.1875,
226,2.7971818,16,0.25,
227,3.1489208,16,0.125,
228,3.0459106,16,0.0625,
229,2.7558324,16,0.1875,
230,2.8450556,16,0.25,
231,2.804398,16,0.1875,
232,2.751934,16,0.0625,
233,2.7772107,16,0.125,
234,2.7222984,16,0.3125,
235,2.6906502,16,0.1875,
236,2.4289865,16,0.25,
237,3.03749,16,0.125,
238,2.6618352,16,0.1875,
239,3.1812484,16,0.0625,
240,2.9442844,16,0.1875,
241,2.7251701,16,0.1875,
242,2.908608,16,0.125,
243,2.5782275,16,0.1875,
244,2.7120845,16,0.125,
245,2.9728642,16,0.0625,
246,2.8457956,16,0.1875,
247,2.7447636,16,0.0625,
248,2.931159,16,0.0,
249,2.8419971,16,0.0625,
250,2.6742518,16,0.1875,
251,2.779343,16,0.1875,
252,3.1986508,16,0.0625,
253,2.9557211,16,0.125,
254,2.9070535,16,0.125,
255,2.8487992,16,0.25,
256,2.7661004,16,0.125,
257,2.6274784,16,0.125,
258,2.8148468,16,0.125,
259,2.8555753,16,0.0625,
260,2.532049,16,0.3125,
261,3.054141,16,0.0625,
262,3.047574,16,0.125,
