Step,Loss,Batch Size,Accuracy
0,2.294853,16,0.1875
1,2.4682019,16,0.125
2,2.3717406,16,0.0
3,2.2763834,16,0.0625
4,2.3328772,16,0.0
5,2.3035326,16,0.125
6,2.3111727,16,0.1875
7,2.2314117,16,0.1875
8,2.2423725,16,0.25
9,2.3512058,16,0.0625
10,2.317557,16,0.0625
11,2.3174367,16,0.125
12,2.276652,16,0.25
13,2.296119,16,0.1875
14,2.2282205,16,0.25
15,2.2242203,16,0.375
16,2.155138,16,0.25
17,2.392093,16,0.0625
18,2.2546535,16,0.1875
19,2.134976,16,0.375
20,2.334941,16,0.0625
21,2.1917734,16,0.1875
22,2.131102,16,0.3125
23,2.1869726,16,0.0625
24,2.1822739,16,0.25
25,2.1444435,16,0.0625
26,2.2842915,16,0.0625
27,2.2547045,16,0.1875
28,2.2404025,16,0.0625
29,2.184058,16,0.0625
30,2.0865211,16,0.3125
31,2.1345863,16,0.375
32,2.316595,16,0.125
33,2.0331702,16,0.3125
34,2.1914327,16,0.1875
35,1.9681435,16,0.125
36,1.8710651,16,0.4375
37,2.1547728,16,0.125
38,2.2948046,16,0.125
39,2.2942328,16,0.125
40,2.10977,16,0.0625
41,1.9239852,16,0.25
42,1.7990258,16,0.4375
43,2.0703478,16,0.1875
44,3.3709137,16,0.125
45,2.3136518,16,0.1875
46,2.2835007,16,0.125
47,2.2247002,16,0.125
48,2.2326603,16,0.1875
49,2.2405393,16,0.0
50,2.2801945,16,0.125
51,2.207578,16,0.3125
52,2.2590413,16,0.125
53,2.2181885,16,0.1875
54,2.2996926,16,0.0625
55,2.1161938,16,0.125
56,2.1820521,16,0.1875
57,2.1967535,16,0.125
58,1.9781952,16,0.25
59,2.3504221,16,0.1875
60,2.0273376,16,0.3125
61,2.1590202,16,0.25
62,1.997069,16,0.25
63,1.9978467,16,0.3125
64,2.331802,16,0.0625
65,2.1337876,16,0.1875
66,1.9802296,16,0.375
67,2.0909064,16,0.1875
68,2.144902,16,0.125
69,2.044914,16,0.125
70,1.8366199,16,0.375
71,2.210027,16,0.1875
72,2.9252427,16,0.0625
73,2.2179804,16,0.3125
74,2.1914945,16,0.125
75,2.0964172,16,0.25
76,2.1474004,16,0.1875
77,2.268572,16,0.125
78,1.9166505,16,0.4375
79,2.1645536,16,0.25
80,2.1634293,16,0.0625
81,2.0714223,16,0.125
82,1.9341402,16,0.25
83,1.718359,16,0.4375
84,2.0884552,16,0.375
85,2.2777867,16,0.0625
86,1.8317734,16,0.3125
87,1.8481902,16,0.25
88,1.9984581,16,0.25
89,2.1869407,16,0.125
90,2.1840646,16,0.125
91,1.8852042,16,0.3125
92,2.0956671,16,0.125
93,2.2083895,16,0.125
94,2.030937,16,0.1875
95,2.0624075,16,0.25
96,2.045055,16,0.125
97,1.9686995,16,0.25
98,1.9673951,16,0.3125
99,2.0384183,16,0.1875
100,2.3237576,16,0.0625
101,2.0530543,16,0.125
102,1.913192,16,0.375
103,2.2139497,16,0.1875
104,1.9939446,16,0.1875
105,2.2048979,16,0.125
106,1.987012,16,0.375
107,2.1399083,16,0.125
108,1.9104818,16,0.25
109,1.8994052,16,0.25
110,1.8952202,16,0.25
111,2.1068995,16,0.1875
112,1.9574244,16,0.4375
113,2.295628,16,0.1875
114,2.0390947,16,0.125
115,2.181996,16,0.125
116,1.918356,16,0.1875
117,2.057785,16,0.3125
118,1.9399914,16,0.3125
119,1.8713651,16,0.4375
120,1.7815251,16,0.25
121,2.3075428,16,0.0625
122,1.9235114,16,0.25
123,1.9325415,16,0.1875
124,1.8190292,16,0.4375
125,2.2672698,16,0.125
126,2.0082474,16,0.125
127,2.1209707,16,0.25
128,2.1932988,16,0.25
129,1.9359771,16,0.375
130,2.0228808,16,0.25
131,1.86313,16,0.375
132,1.674042,16,0.4375
133,2.1491194,16,0.125
134,2.5293255,16,0.0625
135,1.8581976,16,0.3125
136,1.6754708,16,0.1875
137,1.9780455,16,0.3125
138,1.869733,16,0.125
139,2.2641625,16,0.0
140,2.1945395,16,0.125
141,2.1835198,16,0.3125
142,1.8162284,16,0.25
143,1.6821336,16,0.3125
144,1.9187766,16,0.1875
145,1.9129194,16,0.25
146,2.1163955,16,0.25
147,2.1379123,16,0.3125
148,1.9035356,16,0.1875
149,1.8829985,16,0.375
150,1.7447245,16,0.4375
151,1.9015375,16,0.3125
152,2.1216702,16,0.25
153,1.7745792,16,0.3125
154,1.645304,16,0.4375
155,1.7709031,16,0.375
156,1.8597219,16,0.25
157,1.952424,16,0.3125
158,2.3062258,16,0.25
159,1.9992148,16,0.25
160,2.0468497,16,0.0625
161,1.703558,16,0.375
162,2.214438,16,0.25
163,1.894058,16,0.375
164,1.8967388,16,0.1875
165,1.7359406,16,0.375
166,1.8714333,16,0.25
167,1.9012272,16,0.3125
168,1.8395488,16,0.25
169,2.1579666,16,0.25
170,1.7387755,16,0.3125
171,2.1938806,16,0.125
172,2.3601317,16,0.25
173,2.0652602,16,0.25
174,1.9248108,16,0.25
175,1.7497545,16,0.5
176,1.9795213,16,0.375
177,1.838105,16,0.1875
178,1.9169596,16,0.1875
179,2.0451202,16,0.0625
180,1.6914889,16,0.125
181,2.0353243,16,0.0625
182,1.903905,16,0.1875
183,2.0010593,16,0.25
184,1.6252882,16,0.25
185,1.8216947,16,0.5
186,2.5725307,16,0.125
187,1.9982984,16,0.3125
188,1.78004,16,0.3125
189,2.2415974,16,0.1875
190,1.6969597,16,0.4375
191,1.9702909,16,0.3125
192,1.8933845,16,0.125
193,2.1568284,16,0.1875
194,2.00474,16,0.1875
195,2.1059246,16,0.1875
196,2.0241864,16,0.1875
197,1.9515991,16,0.3125
198,1.9292848,16,0.375
199,1.7215085,16,0.375
200,1.8752079,16,0.25
201,1.8681232,16,0.125
202,1.6687751,16,0.375
203,1.9170768,16,0.1875
204,1.8067303,16,0.4375
205,2.1557224,16,0.3125
206,1.7544312,16,0.25
207,2.1655872,16,0.1875
208,1.7172762,16,0.1875
209,1.9924812,16,0.25
210,1.9876854,16,0.375
211,1.6524247,16,0.375
212,2.4894505,16,0.125
213,2.0534306,16,0.3125
214,1.9416075,16,0.3125
215,2.0008435,16,0.25
216,1.8382602,16,0.25
217,1.8574446,16,0.25
218,2.2161515,16,0.3125
219,1.6072391,16,0.3125
220,1.7444944,16,0.3125
221,2.1427374,16,0.1875
222,2.3391027,16,0.0625
223,1.6449316,16,0.375
224,2.114203,16,0.1875
225,1.7605299,16,0.1875
226,2.0083742,16,0.3125
227,2.041069,16,0.125
228,1.8606659,16,0.375
229,1.8773462,16,0.25
230,1.6628885,16,0.5
231,1.6876264,16,0.375
232,1.6915736,16,0.375
233,1.8133492,16,0.25
234,1.9597517,16,0.1875
235,1.788175,16,0.375
236,1.6104693,16,0.1875
237,1.7777462,16,0.4375
238,1.9156808,16,0.5
239,1.6139652,16,0.375
240,1.7375119,16,0.3125
241,1.8857087,16,0.3125
242,2.3009138,16,0.25
243,2.012366,16,0.1875
244,1.8313806,16,0.5
245,2.0542076,16,0.125
246,2.3423738,16,0.25
247,1.9527823,16,0.3125
248,1.8176138,16,0.25
249,1.7751535,16,0.25
250,2.0656564,16,0.25
251,1.5250087,16,0.5
252,1.6801226,16,0.3125
253,2.7687135,16,0.3125
254,1.7561117,16,0.5625
255,2.0013697,16,0.1875
256,1.7726188,16,0.4375
257,1.8365333,16,0.3125
258,1.815789,16,0.3125
259,1.6303606,16,0.3125
260,1.8432343,16,0.3125
261,1.9165319,16,0.375
262,1.6369784,16,0.25
263,2.1008153,16,0.25
264,1.3691013,16,0.5
265,2.5297184,16,0.25
266,1.8926316,16,0.375
267,1.9263973,16,0.25
268,1.7062235,16,0.3125
269,1.7921994,16,0.375
270,2.151185,16,0.25
271,1.6872579,16,0.4375
272,2.1049407,16,0.25
273,2.2223744,16,0.25
274,1.9037141,16,0.25
275,1.8258332,16,0.375
276,1.839896,16,0.1875
277,1.8262537,16,0.4375
278,1.8164566,16,0.375
279,1.768669,16,0.4375
280,2.0316358,16,0.1875
281,2.303123,16,0.1875
282,2.0588837,16,0.3125
283,1.9692701,16,0.3125
284,1.6963016,16,0.3125
285,1.5799359,16,0.25
286,1.6363319,16,0.3125
287,2.0601451,16,0.1875
288,1.839027,16,0.4375
289,1.8898668,16,0.25
290,1.8780546,16,0.4375
291,1.6839883,16,0.5625
292,2.0218706,16,0.25
293,1.5483063,16,0.5625
294,2.11255,16,0.1875
295,1.8384075,16,0.25
296,1.8396757,16,0.25
297,1.6483116,16,0.375
298,2.1318676,16,0.125
299,1.9888176,16,0.25
300,2.0584102,16,0.1875
301,2.021028,16,0.3125
302,2.0939384,16,0.3125
303,1.6379039,16,0.3125
304,1.6911925,16,0.375
305,1.8123305,16,0.4375
306,1.8471761,16,0.3125
307,1.7226139,16,0.5
308,1.7735481,16,0.3125
309,1.5290164,16,0.5625
310,2.4777737,16,0.0625
311,1.8845804,16,0.375
312,1.8068347,16,0.3125
313,1.7033801,16,0.375
314,1.7545679,16,0.25
315,1.6414075,16,0.375
316,2.1595058,16,0.25
317,1.7656994,16,0.3125
318,1.9404056,16,0.375
319,2.02276,16,0.375
320,1.9185255,16,0.1875
321,1.800709,16,0.375
322,1.6454296,16,0.4375
323,1.8018146,16,0.3125
324,1.7621027,16,0.375
325,2.5178752,16,0.1875
326,1.9994612,16,0.3125
327,2.048874,16,0.4375
328,2.0841973,16,0.125
329,1.5118906,16,0.625
330,1.6738636,16,0.5625
331,1.9986162,16,0.1875
332,1.9015911,16,0.4375
333,1.8536648,16,0.3125
334,1.7337373,16,0.375
335,2.0095296,16,0.4375
336,1.5112746,16,0.5
337,1.9903336,16,0.3125
338,1.9554337,16,0.125
339,1.5759296,16,0.5625
340,1.5992124,16,0.375
341,2.2327957,16,0.1875
342,1.8010617,16,0.25
343,2.0297894,16,0.3125
344,1.6440506,16,0.6875
345,1.7199793,16,0.4375
346,1.6152544,16,0.1875
347,2.0661373,16,0.4375
348,1.559477,16,0.375
349,1.6336005,16,0.3125
350,1.3913383,16,0.5
351,2.062711,16,0.125
352,1.4741445,16,0.5625
353,2.1942544,16,0.25
354,1.8247882,16,0.375
355,1.6094904,16,0.5
356,2.025253,16,0.25
357,1.7734866,16,0.4375
358,1.6488745,16,0.375
359,1.7181373,16,0.375
360,1.7328087,16,0.4375
361,1.9418826,16,0.4375
362,2.2185802,16,0.25
363,2.0331087,16,0.25
364,1.5189312,16,0.5
365,1.6739867,16,0.375
366,2.5222812,16,0.1875
367,1.716375,16,0.375
368,1.6926801,16,0.3125
369,1.7645645,16,0.125
370,1.8714076,16,0.3125
371,1.7092047,16,0.375
372,1.9344106,16,0.3125
373,1.53554,16,0.5
374,1.6580696,16,0.375
375,1.73521,16,0.3125
376,2.3742614,16,0.1875
377,1.6314542,16,0.5
378,1.4281616,16,0.625
379,1.8023307,16,0.125
380,1.5923042,16,0.5
381,1.462159,16,0.5
382,2.0002885,16,0.375
383,1.9029689,16,0.1875
384,1.858205,16,0.3125
385,1.4587677,16,0.375
386,1.6823066,16,0.3125
387,1.7008853,16,0.3125
388,1.6999037,16,0.3125
389,1.862136,16,0.25
390,1.9420512,16,0.4375
391,1.8729336,16,0.4375
392,1.281889,16,0.5625
393,1.5766996,16,0.4375
394,2.0080552,16,0.25
395,1.7099277,16,0.375
396,1.5180421,16,0.4375
397,1.950764,16,0.3125
398,1.3726897,16,0.5
399,1.762003,16,0.3125
400,1.6894212,16,0.4375
401,2.2602782,16,0.125
402,1.8225479,16,0.25
403,1.829664,16,0.3125
404,1.7735704,16,0.3125
405,1.7439173,16,0.3125
406,1.7544918,16,0.3125
407,1.3567116,16,0.5625
408,1.964087,16,0.3125
409,2.113523,16,0.25
410,1.8873829,16,0.25
411,1.4278958,16,0.375
412,2.0169528,16,0.25
413,1.8846734,16,0.3125
414,1.5227035,16,0.25
415,1.4589034,16,0.5625
416,2.1574478,16,0.375
417,2.2511406,16,0.125
418,2.2172124,16,0.3125
419,1.9688375,16,0.1875
420,1.7733756,16,0.5625
421,1.6567659,16,0.5
422,1.8224483,16,0.375
423,1.5403172,16,0.5625
424,1.5812098,16,0.375
425,1.4059014,16,0.5
426,1.8750454,16,0.3125
427,1.8342897,16,0.5625
428,1.8288122,16,0.1875
429,1.9709119,16,0.125
430,1.7647598,16,0.5625
431,2.1971626,16,0.25
432,1.4925511,16,0.6875
433,1.7355435,16,0.375
434,1.8299389,16,0.1875
435,2.0575023,16,0.4375
436,1.4816144,16,0.5
437,1.6548501,16,0.4375
438,1.7185441,16,0.5
439,1.6765891,16,0.375
440,1.4861945,16,0.4375
441,1.3676631,16,0.625
442,2.7738075,16,0.1875
443,2.0903966,16,0.25
444,1.5311496,16,0.5
445,1.68536,16,0.1875
446,2.2587352,16,0.25
447,1.5729622,16,0.4375
448,1.7326267,16,0.25
449,1.8284881,16,0.25
450,1.641072,16,0.5625
451,1.8956196,16,0.25
452,1.5051192,16,0.3125
453,1.3724153,16,0.5
454,1.9160345,16,0.25
455,1.4738691,16,0.25
456,1.821306,16,0.0625
457,1.6741147,16,0.25
458,1.3068213,16,0.625
459,2.0217767,16,0.25
460,1.7623491,16,0.25
461,1.7254524,16,0.3125
462,1.4847119,16,0.5625
463,2.5548136,16,0.1875
464,2.2774537,16,0.1875
465,1.6717808,16,0.375
466,2.146109,16,0.1875
467,1.6689546,16,0.4375
468,1.535779,16,0.5
469,1.5235963,16,0.4375
470,1.8794639,16,0.375
471,1.3039346,16,0.625
472,2.3786035,16,0.0625
473,1.9469893,16,0.375
474,2.082353,16,0.3125
475,1.4336879,16,0.5625
476,1.6432219,16,0.375
477,1.9867518,16,0.1875
478,1.8146709,16,0.3125
479,1.5801538,16,0.4375
480,1.8402252,16,0.25
481,1.6765432,16,0.4375
482,2.4131165,16,0.125
483,1.6391721,16,0.5
484,1.7724057,16,0.25
485,1.641179,16,0.4375
486,1.6338781,16,0.375
487,1.899263,16,0.375
488,1.7819276,16,0.3125
489,1.2184683,16,0.6875
490,1.8799922,16,0.375
491,1.8959816,16,0.25
492,1.5889368,16,0.5625
493,1.9118571,16,0.1875
494,1.6748807,16,0.375
495,1.6476604,16,0.3125
496,1.6394861,16,0.3125
497,2.0649471,16,0.3125
498,1.5428795,16,0.375
499,1.6215308,16,0.375
500,2.0736685,16,0.1875
501,1.5675992,16,0.4375
502,1.7312448,16,0.375
503,1.5152841,16,0.4375
504,1.3986809,16,0.5
505,1.7856017,16,0.125
506,1.629692,16,0.4375
507,1.2670486,16,0.625
508,1.5912657,16,0.4375
509,1.6870161,16,0.5
510,1.578248,16,0.375
511,1.7017074,16,0.3125
512,1.6121129,16,0.1875
513,1.3450065,16,0.5
514,1.4305195,16,0.5625
515,1.6901286,16,0.3125
516,2.0330038,16,0.1875
517,1.7909446,16,0.3125
518,1.8641748,16,0.125
519,1.9691701,16,0.3125
520,1.9141318,16,0.1875
521,1.840878,16,0.25
522,1.4169941,16,0.4375
523,1.4629352,16,0.5
524,2.0043051,16,0.1875
525,1.6952066,16,0.3125
526,1.7951859,16,0.3125
527,1.7604724,16,0.125
528,1.422754,16,0.5
529,1.8929087,16,0.25
530,2.5028725,16,0.1875
531,1.4720473,16,0.375
532,1.446594,16,0.5
533,1.7313898,16,0.375
534,1.5782013,16,0.3125
535,1.3860171,16,0.5
536,2.005652,16,0.125
537,1.4724336,16,0.5
538,1.4640476,16,0.4375
539,1.8197315,16,0.4375
540,2.0229673,16,0.25
541,1.3904383,16,0.4375
542,1.8949823,16,0.375
543,1.8384331,16,0.375
544,1.3523703,16,0.5
545,1.7880207,16,0.125
546,1.5908808,16,0.625
547,1.7971902,16,0.3125
548,1.7889538,16,0.375
549,1.6611638,16,0.3125
550,1.7342432,16,0.25
551,1.7602825,16,0.4375
552,1.9174865,16,0.4375
553,1.6293507,16,0.375
554,1.4631658,16,0.375
555,1.7618506,16,0.3125
556,1.3721582,16,0.5
557,1.5334814,16,0.4375
558,2.0964866,16,0.3125
559,2.1893597,16,0.1875
560,2.0407467,16,0.1875
561,1.6525649,16,0.4375
562,1.9851277,16,0.25
563,2.1699781,16,0.1875
564,1.9559224,16,0.1875
565,1.5883856,16,0.375
566,1.5011566,16,0.4375
567,2.168467,16,0.25
568,1.706828,16,0.3125
569,1.244589,16,0.5
570,1.6379585,16,0.5
571,2.1461616,16,0.4375
572,1.5207603,16,0.625
573,1.41633,16,0.5625
574,1.7522385,16,0.4375
575,1.7238226,16,0.375
576,1.9011132,16,0.375
577,2.1949368,16,0.4375
578,1.5845376,16,0.4375
579,1.169812,16,0.625
580,1.5737648,16,0.375
581,1.7630541,16,0.3125
582,1.4953642,16,0.375
583,2.0731359,16,0.1875
584,1.9906551,16,0.25
585,1.4454348,16,0.5
586,1.5177071,16,0.375
587,2.1255984,16,0.25
588,1.7052648,16,0.375
589,1.4330537,16,0.5
590,2.241716,16,0.125
591,1.6885762,16,0.4375
592,1.5258611,16,0.4375
593,1.7747066,16,0.125
594,1.5035226,16,0.625
595,1.5315106,16,0.4375
596,1.7226167,16,0.4375
597,1.9741161,16,0.25
598,1.3149097,16,0.5
599,1.4707425,16,0.375
600,1.9482794,16,0.1875
601,1.592373,16,0.4375
602,1.6544122,16,0.25
603,1.7032299,16,0.4375
604,1.4388443,16,0.3125
605,2.0632033,16,0.375
606,1.5331595,16,0.5
607,1.7279506,16,0.4375
608,2.1388974,16,0.3125
609,1.5019238,16,0.4375
610,1.5446286,16,0.5
611,1.5054128,16,0.4375
612,1.5378656,16,0.375
613,1.4840815,16,0.3125
614,1.5492053,16,0.375
615,1.6847765,16,0.375
616,1.6822731,16,0.3125
617,1.7153403,16,0.3125
618,1.7185019,16,0.375
619,1.8802346,16,0.375
620,1.6778932,16,0.4375
621,1.6994736,16,0.1875
622,1.6361167,16,0.5625
623,1.3566164,16,0.625
624,2.2296357,16,0.25
625,1.5304013,16,0.3125
626,1.272932,16,0.4375
627,1.2218783,16,0.625
628,1.7234848,16,0.4375
629,2.1709294,16,0.375
630,1.8456976,16,0.375
631,1.9123169,16,0.3125
632,1.9451959,16,0.375
633,1.8741938,16,0.1875
634,1.597337,16,0.625
635,1.7685177,16,0.375
636,1.7433553,16,0.25
637,1.7375673,16,0.3125
638,2.2580807,16,0.1875
639,1.9236325,16,0.125
640,2.0373359,16,0.3125
641,1.8901033,16,0.375
642,1.6883593,16,0.375
643,1.5959088,16,0.375
644,1.7710749,16,0.5
645,1.4710052,16,0.625
646,1.8124666,16,0.375
647,1.9916985,16,0.3125
648,2.1003695,16,0.3125
649,1.579293,16,0.3125
650,1.5873101,16,0.5
651,1.8247027,16,0.1875
652,1.8818935,16,0.1875
653,1.7356412,16,0.3125
654,1.5628792,16,0.3125
655,1.2990513,16,0.625
656,1.6667283,16,0.375
657,1.6957612,16,0.375
658,1.4561782,16,0.4375
659,1.5353497,16,0.5
660,1.6596942,16,0.3125
661,1.5893619,16,0.375
662,1.1088718,16,0.5625
663,1.4633543,16,0.5
664,2.3919978,16,0.25
665,1.8534076,16,0.375
666,1.754561,16,0.5
667,1.306384,16,0.5625
668,1.5132527,16,0.3125
669,2.0010526,16,0.3125
670,1.4082432,16,0.5
671,1.4809033,16,0.5625
672,1.7154273,16,0.3125
673,1.4384232,16,0.5625
674,1.6713856,16,0.375
675,1.6514357,16,0.5
676,1.6388671,16,0.4375
677,1.4261667,16,0.5
678,2.2569656,16,0.3125
679,1.830639,16,0.4375
680,1.7142376,16,0.5
681,1.6450924,16,0.625
682,2.0626526,16,0.25
683,1.8327035,16,0.3125
684,1.5931264,16,0.375
685,1.7056912,16,0.5
686,1.9374913,16,0.375
687,1.4690154,16,0.4375
688,1.5191495,16,0.3125
689,1.641259,16,0.4375
690,2.0806727,16,0.1875
691,2.0081208,16,0.4375
692,1.6295716,16,0.4375
693,1.5801916,16,0.5625
694,1.7335374,16,0.375
695,1.8948436,16,0.25
696,1.6161346,16,0.4375
697,1.6061128,16,0.4375
698,1.4871502,16,0.5625
699,1.6789386,16,0.4375
700,1.3451836,16,0.375
701,1.6936855,16,0.5
702,1.5733495,16,0.25
703,2.4854012,16,0.0625
704,1.6929231,16,0.3125
705,1.7956436,16,0.3125
706,1.6253961,16,0.4375
707,1.8349032,16,0.25
708,2.03776,16,0.5
709,1.656382,16,0.375
710,1.8448863,16,0.3125
711,2.3705683,16,0.3125
712,1.7888098,16,0.375
713,1.5583347,16,0.4375
714,1.3856404,16,0.4375
715,2.0026243,16,0.375
716,1.7939484,16,0.3125
717,1.6403048,16,0.4375
718,1.5215876,16,0.5
719,1.2095239,16,0.5
720,2.0107942,16,0.375
721,1.8644154,16,0.3125
722,2.0712576,16,0.3125
723,1.580786,16,0.5
724,1.7163172,16,0.25
725,1.5861968,16,0.4375
726,1.6107924,16,0.3125
727,1.964262,16,0.3125
728,1.5965755,16,0.375
729,2.1234393,16,0.125
730,1.5231979,16,0.5625
731,1.327948,16,0.5
732,1.5235001,16,0.3125
733,1.1947289,16,0.625
734,1.4221771,16,0.5
735,1.1199197,16,0.625
736,1.9000475,16,0.5625
737,1.7422934,16,0.4375
738,1.4170322,16,0.5625
739,1.4058651,16,0.4375
740,1.3683577,16,0.5
741,1.9481134,16,0.3125
742,1.7987807,16,0.25
743,1.5558741,16,0.3125
744,1.7863055,16,0.25
745,1.7286212,16,0.375
746,1.7777164,16,0.375
747,1.4152375,16,0.5625
748,1.350638,16,0.625
749,1.4369514,16,0.375
750,1.7501385,16,0.4375
751,1.2921776,16,0.6875
752,2.3040042,16,0.3125
753,1.7835691,16,0.375
754,2.0550337,16,0.25
